Question,Correct Answer,Simple Answer,RAG Answer,Multi-Question Answer,Simple Answer Points,Simple Answer Justification,RAG Answer Points,RAG Answer Justification,Multi-Question Answer Points,Multi-Question Answer Justification,Simple Answer Overall Score,RAG Answer Overall Score,Multi-Question Answer Overall Score
What does Harry accidentally do when he goes to the zoo?,Make the glass in the snake enclosure disappear,"{'answer': ""For this specific question, I don't have enough context to provide an accurate answer. I can only generate responses based on given information and provided schemas."", 'source': 'User Question'}","{'answer': 'Harry accidentally sets a large snake free from its tank at the zoo, causing panic among visitors.', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling, Chapter 2: The Vanishing Glass""}","{'answer': 'Harry accidentally sets a boa constrictor named Bangladesh free from its enclosure at the zoo.', 'source': ""J.K. Rowling, Harry Potter and the Philosopher's Stone, Chapter 2: The Vanishing Glass""}",1,The given answer states that no answer can be given due to lack of context.,0,"The given answer mentions Harry setting a large snake free from its tank, which is not the same as making the glass in the snake enclosure disappear.",3,The given answer is consistent with the correct answer as both involve Harry causing an incident at the zoo that relates to animals being released or disappearing from their enclosures.,372.0,594.0,624.0
What are the names of Severus Snape's parents?,Tobias Snape (father) and Eileen Snape (Prince) (mother),"{'answer': ""Severus Snape's parents were named Evanros and Euphemia Rogue. However, it is important to note that this information comes from Harry Potter and the Deathly Hallows by J.K. Rowling."", 'source': 'Harry Potter and the Deathly Hallows by J.K. Rowling'}","{'answer': ""Snape's parents' names were not mentioned in the Harry Potter series."", 'source': ""J.K. Rowling's 'Harry Potter and the Deathly Hallows'""}","{'answer': ""The names of Severus Snape's parents are not mentioned in the Harry Potter series."", 'source': 'J.K. Rowling, Harry Potter and the Deathly Hallows'}",0,"The given answer is incorrect as Severus Snape's parents are Tobias Snape (father) and Eileen Snape (mother), not Evanros and Euphemia Rogue.",1,The given answer correctly states that there is no answer to be given in the provided source material.,1,The given answer correctly states that no answer can be given based on the provided source.,372.0,594.0,624.0
"What is the name of the Quidditch move where a seeker fake's seeing the snitch and dives to the ground but pulls out of the dive just in time, but the opposing seeker plummets to the ground?",Wronsky Feint,"{'answer': 'Disapparition Feint', 'source': 'Personal knowledge'}","{'answer': 'Banishing Snitch Dive or Feint', 'source': ""The name 'Banishing Snitch Dive' or 'Feint' is used in Quidditch when a Seeker fakes a snatch attempt, causing the opposing Seeker to dive after them, only for the first Seeker to pull out of the dive just in time. This move can confuse and disorient the opposing team and create an opportunity for the attacking team to gain an advantage.""}","{'answer': 'Feint or Bluff', 'source': ""The name of the Quidditch move where a Seeker fakes seeing the Snitch and dives to the ground but pulls out just in time, causing the opposing Seeker to plummet to the ground is called 'Feint' or 'Bluff'. This move is used to deceive the opposing team and gain an advantage.""}",0,The given answer is incorrect. The correct answer is Wronsky Feint.,3,"The given answer accurately describes the 'Wronsky Feint' or 'Banishing Snitch Dive' Quidditch move, providing a detailed explanation of its effects on the opposing team.",3,The given answer correctly identifies that the name of the Quidditch move is called either 'Feint' or 'Bluff'. Both terms are acceptable names for this move as they both indicate an attempt to deceive the opposing team.,372.0,594.0,624.0
What is the first-ever password to Gryffindor Tower?,Caput Draconis,"{'answer': 'first-ever-password', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': 'Coming through, coming through!'}","{'answer': 'The text does not provide information about the first-ever password to Gryffindor Tower.', 'source': 'The context provided in the text is an extract from chapter neville_longbottom of the Harry Potter series, where Neville lost the passwords to Gryffindor Tower and was banned from visiting Hogsmeade for the remainder of the school year. It also mentions that Sir Cadogan changes the passwords frequently, and that Neville wrote them down in order to remember them. However, there is no mention of what the first-ever password to Gryffindor Tower was.'}",0,"The given answer does not match the correct answer. The first-ever password to Gryffindor Tower is 'Caput Draconis' according to the information given in 'Harry Potter and the Philosopher's Stone' by J.K. Rowling, but the given answer does not provide that information.",0,"The given answer is not the correct answer to the question and does not indicate that no answer can be given or that the answer is incomplete. Therefore, it receives 0 points.",1,The given answer correctly states that no answer can be given based on the information provided in the text.,372.0,594.0,624.0
Why did Cormac McLaggen miss the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince?,He ate a pound of doxy eggs for a bet.,"{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was expelled from Hogwarts.', 'source': ""J.K. Rowling's Harry Potter series, specifically Harry Potter and the Philosopher's Stone""}","{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was invited for dinner with Slughorn as part of the Slug Club.', 'source': ""The excerpt from 'Harry Potter and the Half-Blood Prince' (chapter 11) does not provide information about why Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince.""}","{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was recovering from being poisoned.', 'source': ""The extract is from Chapter 19 of Harry Potter and the Half-Blood Prince, entitled 'ELF-TAILS'. Lavender Brown is talking to Harry about Ron Weasley, and she mentions that McLaggen was not at the tryouts because he was still recovering from being poisoned.""}",0,The given answer is incorrect as Cormac McLaglen was not expelled from Hogwarts but missed the tryouts because he ate a pound of doxy eggs for a bet.,0,"The given answer is incorrect as it states that Cormac McLaggen missed the Quidditch tryouts because he was invited for dinner with Slughorn, whereas the correct answer states that he missed them due to eating a pound of doxy eggs for a bet.",0,"The given answer is incorrect. The correct answer is that Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he ate a pound of doxy eggs for a bet, as stated in the text. However, the given answer mentions that McLaggen was recovering from being poisoned, which is not the correct explanation.",372.0,594.0,624.0
What magical plant does Harry use to breathe underwater during the second task of the Triwizard Tournament?,Gillyweed,"{'answer': 'The magical plant Harry uses to breathe underwater during the second task of the Triwizard Tournament is the Gillyweed.', 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'No magical plant is mentioned in the text for Harry to breathe underwater during the second task of the Triwizard Tournament.', 'source': 'J.K. Rowling, Harry Potter and the Goblet of Fire'}","{'answer': 'There is no magical plant that Harry uses to breathe underwater during the second task of the Triwizard Tournament. Instead, Harry and his team spend countless hours in the Hogwarts library searching for a charm or spell that could help Harry survive underwater for an hour.', 'source': 'Harry Potter and the Goblet of Fire by J.K. Rowling'}",3,The given answer correctly identifies the magical plant that Harry uses to breathe underwater during the second task of the Triwizard Tournament as Gillyweed. The source citation adds credibility to the answer.,1,The given answer correctly states that no magical plant is mentioned in the text for Harry to breathe underwater during the second task of the Triwizard Tournament.,1,The given answer states that no magical plant is used by Harry to breathe underwater during the second task of the Triwizard Tournament.,372.0,594.0,624.0
"Who is the ghost of Ravenclaw Tower, also known as 'The Grey Lady'?",Helena Ravenclaw,"{'answer': 'The Grey Lady is believed to be the ghost of Helena Ravenclaw, the founder of Ravenclaw House in Hogwarts.', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Helena Ravenclaw, the daughter of Rowena Ravenclaw, is the ghost of Ravenclaw Tower.', 'source': 'Harry Potter and the Deathly Hallows - Chapter 31 (The Final Hiding Place)'}","{'answer': 'Helena Ravenclaw', 'source': ""Harry Potter and the Deathly Hallows - Chapter 28 (Snape's Libion)""}",3,The given answer correctly identifies Helena Ravenclaw as The Grey Lady in the Harry Potter series by J.K. Rowling.,3,The given answer correctly identifies Helena Ravenclaw as 'The Grey Lady' of Ravenclaw Tower.,3,The given answer is a good answer as it matches the correct answer and also includes a source to validate its accuracy.,372.0,594.0,624.0
What is the core of Harry Potter's wand?,Phoenix feather,"{'answer': ""The core of Harry Potter's wand is a phoenix feather."", 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': ""Harry Potter's wand core is made of holly and unicorn hair."", 'source': ""The text describes Mr. Ollivander measuring Harry for a new wand, mentioning that Harry's previous wand had a phaselic (hornless) unicorn horn core. However, the new wand he is given in this scene has a holly and unicorn hair core.""}","{'answer': ""The core of Harry Potter's wand is phoenix feather."", 'source': ""Chapter 5 of 'Harry Potter and the Philosopher's Stone' by J.K. Rowling.""}",3,The given answer matches the correct answer.,2,"The given answer mentions the materials of Harry Potter's wand but does not explicitly state that it doesn't know the core material. However, the core of Harry Potter's wand is specifically mentioned to be a phoenix feather in various sources, so the given answer is incomplete.",3,"The given answer matches the correct answer, providing additional information about the source.",372.0,594.0,624.0
Which potion allows the drinker to assume the form of someone else?,Polyjuice Potion,"{'answer': 'The drink that allows the drinker to assume the form of someone else is typically associated with mythological figures such as the Greek god Dionysus, Roman god Liber, or Norse god Odin. In these tales, a potion or drink is consumed which grants the imbiber the ability to transform into other beings. This is a common trope in folklore and fantasy literature.', 'source': 'Mythology and Fantasy Literature'}","{'answer': 'Polyjuice Potion', 'source': ""Harry Potter and the Chamber of Secrets - Hermione brewing Polyjuice Potion to transform into Slytherin students in order to find out the truth about Tom Riddle's diary.""}","{'answer': 'Polyjuice Potion', 'source': ""The extract is from 'Harry Potter and the Chamber of Secrets' in Chapter 12 named 'THE POLY-JUICE POTION'. In the context, Hermione, Ron, and Harry drink Polyjuice Potion to transform into Crabbe and Goyle for spying purposes.""}",0,"The given answer does not match the correct answer. The given answer discusses mythological figures and their associated potions, but it does not mention Polyjuice Potion specifically.",3,The given answer correctly identifies the name of the potion that allows the drinker to assume someone else's form. The source provided also adds context and verification for the answer.,3,The given answer correctly identifies the potion named 'Polyjuice Potion' which allows the drinker to assume the form of someone else. The justification provided in the source supports the validity of the answer.,372.0,594.0,624.0
What is the name of the house-elf bound to serve the Black family?,Kreacher,"{'answer': 'Dobby', 'source': 'Harry Potter series'}","{'answer': 'Kreacher', 'source': 'The Noble and Most Ancient House of Black: Chapter 6, Harry Potter and the Order of the Phoenix'}","{'answer': 'Kreacher', 'source': 'The Noble and Most Ancient House of Black - Harry Potter and the Order of the Phoenix by J.K. Rowling'}",0,The given answer is wrong. Dobby is not bound to serve the Black family.,3,The given answer matches the correct answer and includes a citation for verification.,3,The given answer matches the correct answer.,372.0,594.0,624.0
"Who destroys the final Horcrux, Nagini?",Neville Longbottom,"{'answer': ""Harry Potter destroys Nagini, Voldemort's last Horcrux, in the forest near Hogwarts by killing her with a sword."", 'source': 'Harry Potter and the Deathly Hallows - Book by J.K. Rowling'}",{'answer': 'Neville Longbottom'},"{'answer': 'Neville Longbottom', 'source': ""The Battle of Hogwarts results in Nagini's death and Voldemort's ultimate defeat.""}",0,The given answer is wrong as it states that Harry Potter destroys Nagini instead of Neville Longbottom.,3,The given answer matches the correct answer.,3,"The given answer is correct and provides a justification statement explaining the context of Neville Longbottom destroying the final Horcrux, Nagini.",372.0,594.0,624.0
What is the full name of the spell used to disarm another wizard?,Expelliarmus,"{'answer': 'DisARM Hex', 'source': 'Advanced Magical Handbook'}","{'answer': 'Expelliarmus', 'source': 'The spell used to disarm another wizard is called Expelliarmus, as mentioned in the context when Neville successfully casts it against Harry.'}","{'answer': 'Expelliarmus', 'source': ""The extracts provided mention the 'Disarming Charm' or 'Expelliarmus Spell' being practiced multiple times by the members of Dumbledore's Army. This spell is used to disarm another wizard by making their wand fly out of their hand.""}",0,The given answer is incorrect as it does not match the correct answer of Expelliarmus for disarming another wizard.,3,The given answer matches the correct answer and includes a justification.,3,The given answer correctly identifies the name of the spell used to disarm another wizard and provides a justification for its accuracy based on information from the Harry Potter series.,372.0,594.0,624.0
What is Dumbledore's full name?,Albus Percival Wulfric Brian Dumbledore,"{'answer': 'Albus Percival Wulfric Brian Dumbledore', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Albus Percival Wulfric Brian Dumbledore', 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': 'Albus Percival Wulfric Brian Dumbledore', 'source': 'wikipedia.org/wiki/Dumbledore'}",3,The given answer matches the correct answer.,3,The given answer exactly matches the correct answer and includes a source of information.,3,The given answer matches the correct answer.,372.0,594.0,624.0
Who is the Half-Blood Prince?,Severus Snape,"{'answer': 'Severus Snape', 'source': 'Harry Potter series'}","{'properties': {'answer': {'title': 'Answer', 'description': 'The answer to the question', 'type': 'string'}, 'source': {'title': 'Source', 'description': 'The source that was used to answer the question', 'type': 'string'}, 'required': ['answer', 'source']}, 'answer': 'The Half-Blood Prince is a former Hogwarts student whose name is not revealed in the text, but it is mentioned that he wrote spells and notes in an old Potions book used by Harry Potter. He is also rumored to have used the Levicorpus spell on Severus Snape.', 'source': 'chapter16_a_very_frost_christmas_from_harry_potter_and_the_half_blood_prince'}","{'answer': 'Severus Snape', 'source': ""The novel 'Harry Potter and the Half-Blood Prince' by J.K. Rowling""}",3,The given answer matches the correct answer and includes a source reference.,2,The given answer is incomplete as it does not mention the name of the Half-Blood Prince which is Severus Snape according to the correct answer.,3,The given answer matches the correct answer and includes a valid source reference.,372.0,594.0,624.0
What creature is Aragog?,Acromantula,"{'answer': ""Aragog is a giant acarid (spider) from J.K. Rowling's Harry Potter series."", 'source': 'Harry Potter and the Chamber of Secrets by J.K. Rowling'}","{'answer': 'Aragog is a giant spider.', 'source': ""In the Harry Potter series, Aragog is a large, ancient spider who lives in the Forbidden Forest. He is the father of many other spiders and has grown to his current size due to Hagrid's kindness.""}","{'answer': 'Aragog is a giant spider.', 'source': ""Chapter 15 of Harry Potter and the Chamber of Secrets, titled 'Aragog'""}",3,The given answer correctly identifies Aragog as a creature from the Harry Potter series and provides additional information about its nature as a giant acarid (spider).,2,"The given answer mentions Aragog as a large spider, but it does not provide a specific name for the type of spider. Therefore, the answer is considered incomplete.",2,"The given answer is incomplete as it only identifies Aragog as a giant spider, but does not specifically mention that Aragog is an Acromantula.",372.0,594.0,624.0
What does the spell 'Lumos' do?,Produces light from the wand tip,"{'answer': ""The Spell 'Lumos' is a fictional incantation from J.K. Rowling's Harry Potter series, which causes the wand to emit light."", 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': ""The 'Lumos' spell turns on the wand's light at the top."", 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': ""The 'Lumos' spell is used to produce a bright light from the tip of a wand."", 'source': ""The context provided in the extract does not mention the 'Lumos' spell.""}",3,The given answer correctly explains that 'Lumos' is a fictional spell from Harry Potter series that causes the wand to emit light.,3,The given answer correctly states that the 'Lumos' spell turns on the wand's light.,2,"The given answer is incomplete as it only describes one aspect of what the 'Lumos' spell does, but does not provide a full and accurate description as required by the question. The correct answer mentions that the 'Lumos' spell produces light from the wand tip.",372.0,594.0,624.0
Who was the Defense Against the Dark Arts teacher in Harry Potter's first year?,Professor Quirrell,"{'answer': ""The Defense Against the Dark Arts teacher in Harry Potter's first year was Professor Quirrell."", 'source': ""Harry Potter and the Sorcerer's Stone""}","{'answer': 'Professor Quirinus Quirrell', 'source': ""J.K. Rowling's Harry Potter series, specifically 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'Professor Quirinus Quirrell (later revealed to be possessed by Lord Voldemort)', 'source': ""Harry Potter and the Sorcerer's Stone by J.K. Rowling""}",3,The given answer matches the correct answer.,3,"The given answer is exactly the same as the correct answer, so it qualifies for a good answer.",3,"The given answer is identical to the correct answer, with an additional detail added for clarification.",372.0,594.0,624.0
What is the name of Ron Weasley's rat?,"The name of Ron Weasley's rat is Peter Pettigrew, but he was disguised as a rat named Scabbers.","{'answer': 'Scabbers', 'source': 'Harry Potter series'}","{'answer': 'Scabbers', 'source': ""The name of Ron Weasley's rat is Scabbers.""}","{'answer': 'Scabbers', 'source': ""The name of Ron Weasley's rat is Scabbers.""}",2,The given answer is incomplete as it only mentions the name of the rat without specifying that it's a disguise for Peter Pettigrew.,3,The given answer matches the correct answer. The name of Ron Weasley's rat is indeed called Scabbers.,3,"The given answer matches the correct answer, as both state that Ron Weasley's rat is named Scabbers.",372.0,594.0,624.0
What position does Harry Potter play on his Quidditch team?,Seeker,"{'answer': 'Harry Potter is a Seeker in Quidditch.', 'source': ""Harry Potter is a fictional character and the main protagonist of J.K. Rowling's Harry Potter fantasy series. He is known to play as a Seeker for Gryffindor house Quidditch team.""}","{'answer': 'Harry Potter is the Seeker on his Quidditch team.', 'source': 'The extract mentions that Harry is the Seeker for Gryffindor Quidditch team.'}","{'answer': 'Harry Potter is the Seeker on his Quidditch team.', 'source': 'The extract describes Harry as the Seeker for Gryffindor Quidditch team.'}",3,The given answer correctly states that Harry Potter plays the position of a Seeker in Quidditch.,3,The given answer correctly states that Harry Potter is the Seeker on his Quidditch team.,3,The given answer is a complete and correct statement.,372.0,594.0,624.0
