Question,Correct Answer,Simple Answer,RAG Answer,Multi-Question Answer
What does Harry accidentally do when he goes to the zoo?,Make the glass in the snake enclosure disappear,"{'answer': ""For this specific question, I don't have enough context to provide an accurate answer. I can only generate responses based on given information and provided schemas."", 'source': 'User Question'}","{'answer': 'Harry accidentally sets a large snake free from its tank at the zoo, causing panic among visitors.', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling, Chapter 2: The Vanishing Glass""}","{'answer': 'Harry accidentally sets a boa constrictor named Bangladesh free from its enclosure at the zoo.', 'source': ""J.K. Rowling, Harry Potter and the Philosopher's Stone, Chapter 2: The Vanishing Glass""}"
What are the names of Severus Snape's parents?,Tobias Snape (father) and Eileen Snape (Prince) (mother),"{'answer': ""Severus Snape's parents were named Evanros and Euphemia Rogue. However, it is important to note that this information comes from Harry Potter and the Deathly Hallows by J.K. Rowling."", 'source': 'Harry Potter and the Deathly Hallows by J.K. Rowling'}","{'answer': ""Snape's parents' names were not mentioned in the Harry Potter series."", 'source': ""J.K. Rowling's 'Harry Potter and the Deathly Hallows'""}","{'answer': ""The names of Severus Snape's parents are not mentioned in the Harry Potter series."", 'source': 'J.K. Rowling, Harry Potter and the Deathly Hallows'}"
"What is the name of the Quidditch move where a seeker fake's seeing the snitch and dives to the ground but pulls out of the dive just in time, but the opposing seeker plummets to the ground?",Wronsky Feint,"{'answer': 'Disapparition Feint', 'source': 'Personal knowledge'}","{'answer': 'Banishing Snitch Dive or Feint', 'source': ""The name 'Banishing Snitch Dive' or 'Feint' is used in Quidditch when a Seeker fakes a snatch attempt, causing the opposing Seeker to dive after them, only for the first Seeker to pull out of the dive just in time. This move can confuse and disorient the opposing team and create an opportunity for the attacking team to gain an advantage.""}","{'answer': 'Feint or Bluff', 'source': ""The name of the Quidditch move where a Seeker fakes seeing the Snitch and dives to the ground but pulls out just in time, causing the opposing Seeker to plummet to the ground is called 'Feint' or 'Bluff'. This move is used to deceive the opposing team and gain an advantage.""}"
What is the first-ever password to Gryffindor Tower?,Caput Draconis,"{'answer': 'first-ever-password', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': 'Coming through, coming through!'}","{'answer': 'The text does not provide information about the first-ever password to Gryffindor Tower.', 'source': 'The context provided in the text is an extract from chapter neville_longbottom of the Harry Potter series, where Neville lost the passwords to Gryffindor Tower and was banned from visiting Hogsmeade for the remainder of the school year. It also mentions that Sir Cadogan changes the passwords frequently, and that Neville wrote them down in order to remember them. However, there is no mention of what the first-ever password to Gryffindor Tower was.'}"
Why did Cormac McLaggen miss the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince?,He ate a pound of doxy eggs for a bet.,"{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was expelled from Hogwarts.', 'source': ""J.K. Rowling's Harry Potter series, specifically Harry Potter and the Philosopher's Stone""}","{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was invited for dinner with Slughorn as part of the Slug Club.', 'source': ""The excerpt from 'Harry Potter and the Half-Blood Prince' (chapter 11) does not provide information about why Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince.""}","{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was recovering from being poisoned.', 'source': ""The extract is from Chapter 19 of Harry Potter and the Half-Blood Prince, entitled 'ELF-TAILS'. Lavender Brown is talking to Harry about Ron Weasley, and she mentions that McLaggen was not at the tryouts because he was still recovering from being poisoned.""}"
What magical plant does Harry use to breathe underwater during the second task of the Triwizard Tournament?,Gillyweed,"{'answer': 'The magical plant Harry uses to breathe underwater during the second task of the Triwizard Tournament is the Gillyweed.', 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'No magical plant is mentioned in the text for Harry to breathe underwater during the second task of the Triwizard Tournament.', 'source': 'J.K. Rowling, Harry Potter and the Goblet of Fire'}","{'answer': 'There is no magical plant that Harry uses to breathe underwater during the second task of the Triwizard Tournament. Instead, Harry and his team spend countless hours in the Hogwarts library searching for a charm or spell that could help Harry survive underwater for an hour.', 'source': 'Harry Potter and the Goblet of Fire by J.K. Rowling'}"
"Who is the ghost of Ravenclaw Tower, also known as 'The Grey Lady'?",Helena Ravenclaw,"{'answer': 'The Grey Lady is believed to be the ghost of Helena Ravenclaw, the founder of Ravenclaw House in Hogwarts.', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Helena Ravenclaw, the daughter of Rowena Ravenclaw, is the ghost of Ravenclaw Tower.', 'source': 'Harry Potter and the Deathly Hallows - Chapter 31 (The Final Hiding Place)'}","{'answer': 'Helena Ravenclaw', 'source': ""Harry Potter and the Deathly Hallows - Chapter 28 (Snape's Libion)""}"
What is the core of Harry Potter's wand?,Phoenix feather,"{'answer': ""The core of Harry Potter's wand is a phoenix feather."", 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': ""Harry Potter's wand core is made of holly and unicorn hair."", 'source': ""The text describes Mr. Ollivander measuring Harry for a new wand, mentioning that Harry's previous wand had a phaselic (hornless) unicorn horn core. However, the new wand he is given in this scene has a holly and unicorn hair core.""}","{'answer': ""The core of Harry Potter's wand is phoenix feather."", 'source': ""Chapter 5 of 'Harry Potter and the Philosopher's Stone' by J.K. Rowling.""}"
Which potion allows the drinker to assume the form of someone else?,Polyjuice Potion,"{'answer': 'The drink that allows the drinker to assume the form of someone else is typically associated with mythological figures such as the Greek god Dionysus, Roman god Liber, or Norse god Odin. In these tales, a potion or drink is consumed which grants the imbiber the ability to transform into other beings. This is a common trope in folklore and fantasy literature.', 'source': 'Mythology and Fantasy Literature'}","{'answer': 'Polyjuice Potion', 'source': ""Harry Potter and the Chamber of Secrets - Hermione brewing Polyjuice Potion to transform into Slytherin students in order to find out the truth about Tom Riddle's diary.""}","{'answer': 'Polyjuice Potion', 'source': ""The extract is from 'Harry Potter and the Chamber of Secrets' in Chapter 12 named 'THE POLY-JUICE POTION'. In the context, Hermione, Ron, and Harry drink Polyjuice Potion to transform into Crabbe and Goyle for spying purposes.""}"
What is the name of the house-elf bound to serve the Black family?,Kreacher,"{'answer': 'Dobby', 'source': 'Harry Potter series'}","{'answer': 'Kreacher', 'source': 'The Noble and Most Ancient House of Black: Chapter 6, Harry Potter and the Order of the Phoenix'}","{'answer': 'Kreacher', 'source': 'The Noble and Most Ancient House of Black - Harry Potter and the Order of the Phoenix by J.K. Rowling'}"
